sentiment_label,tweet_text
4,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
4,Reading my kindle2...  Love it... Lee childs is good read.
4,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
4,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
4,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
4,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
0,Fuck this economy. I hate aig and their non loan given asses.
4,Jquery is my new best friend.
4,Loves twitter
4,how can you not love Obama? he makes jokes about himself.
2,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
0,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
4,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
4,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
0,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
4,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
0,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
4,i love lebron. http://bit.ly/PdHur
0,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
4,@Pmillzz lebron IS THE BOSS
4,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
4,lebron and zydrunas are such an awesome duo
4,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
4,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
4,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
4,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
4,In montreal for a long weekend of R&amp;R. Much needed.
4,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
4,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
4,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
2,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
2,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
4,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
0,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
0,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
0,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
0,I'm itchy and miserable!
0,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
4,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
4,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
4,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
4,is going to sleep then on a bike ride:]
0,cant sleep... my tooth is aching.
0,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
0,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
2,is in San Francisco at Bay to Breakers.
2,just landed at San Francisco
2,San Francisco today.  Any suggestions?
0,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
0,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
0,ShaunWoo hate'n on AiG
4,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
2,On my way to see Star Trek @ The Esquire.
2,Going to see star trek soon with my dad.
0,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
2,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
4,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
4,Blink by malcolm gladwell amazing book and The tipping point!
4,Malcolm Gladwell might be my new man crush
0,omg. The commercials alone on ESPN are going to drive me nuts.
4,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
2,playing with cURL and the Twitter API
4,Hello Twitter API ;)
2,playing with Java and the Twitter API
0,@morind45 Because the twitter api is slow and most client's aren't good.
0,yahoo answers can be a butt sometimes
4,is scrapbooking with Nic =D
4,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
4,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
2,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"
2,"'Next time, I'll call myself Nike'"
2,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
0,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
4,Back when I worked for Nike we had one fav word : JUST DO IT! :)
4,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
2,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
2,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t"
4,Class... The 50d is supposed to come today :)
0,needs someone to explain lambda calculus to him! :(
0,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
4,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
0,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
4,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
2,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
2,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
4,@ work til 6pm... lets go lakers!!!
0,Damn you North Korea. http://bit.ly/KtMeQ
0,Can we just go ahead and blow North Korea off the map already?
0,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
0,Why the hell is Pelosi in freakin China? and on whose dime?
0,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"
0,insects have infected my spinach plant :(
0,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
0,"just got back from church, and I totally hate insects."
0,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
4,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
0,History exam studying ugh
0,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
0,"Higher physics exam tommorow, not lookin forward to it much :("
0,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
0,Cheney and Bush are the real culprits - http://fwix.com/article/939496
0,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
0,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
0,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"
0,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
0,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
4,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
2,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
4,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
4,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
4,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
4,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!
